family,variant,short_label,correct,state_mib,selected_error
Full,full,full,1,8.023574829101562,0.0
Global energy,pca_r256_global_k128,g128,0,1.5238189697265625,0.06299672275781631
Global energy,pca_r256_global_k256,g256,0,2.5240631103515625,0.05247582867741585
Global energy,pca_r256_global_k64,g64,0,1.0236968994140625,0.06873513013124466
Fixed quota,pca_r256_s16,s16,0,2.5240631103515625,0.05217931792140007
Fixed quota,pca_r256_s4,s4,0,1.0236968994140625,0.06918653845787048
Fixed quota,pca_r256_s8,s8,0,1.5238189697265625,0.06284769624471664
Temporal novelty*,pca_r256_temporal_k128,t128,1,1.5238189697265625,0.06747214496135712
Temporal novelty*,pca_r256_temporal_k256,t256,0,2.5240631103515625,0.05573096498847008
Causal temporal,pca_r256_temporal_k64,t64,0,1.0236968994140625,0.07138987630605698
Spatial 2x2,pca_r256_grid2x2,grid2,1,1.0235748291015625,0.06571125239133835
Mean + sparse,pca_r256_mean1_s3,mean+s3,0,1.0236663818359375,0.06413166970014572
