run,category,split
camera_motion_A9fQPzZ1-hg_f0007812,camera_motion,train
camera_motion_EeTmrsVW8qE_f0043406,camera_motion,train
camera_motion_NagvWwLvRik_f0052018,camera_motion,train
high_change_0ncLRRLvdfk_f0008218,high_change,train
high_change_8np5YKYx3sU_f0001899,high_change,train
high_change_Huj-zXv4DEw_f0016195,high_change,train
object_motion_40BlVzjxu-I_f0002674,object_motion,train
object_motion_KlbDo9o5SC8_f0011302,object_motion,train
object_motion_QhL6ICNQ_So_f0000662,object_motion,train
scene_cut_CxBbw8eT624_f0022339,scene_cut,train
scene_cut_Lyv_2usFQA0_f0002824,scene_cut,train
scene_cut_Zjl2vmy02As_f0006737,scene_cut,train
static_0w4OTD4L0GQ_f0027140,static,train
static_20gUIdXGuAs_f0016034,static,train
static_FcP0mzWFCQU_f0002658,static,train
camera_motion_VmNBt1tzC6k_f0002270,camera_motion,val
high_change_LCfBYE97rFk_f0050015,high_change,val
object_motion_fJ-hp5Jlbv0_f0000338,object_motion,val
scene_cut__tvmjsKXTu8_f0002285,scene_cut,val
static_M69Sn3OERZo_f0000674,static,val
camera_motion_p9uIBCDhyr0_f0005685,camera_motion,test
camera_motion_yU5kPoc7sL4_f0002241,camera_motion,test
high_change_M_lwC5zPkyo_f0021996,high_change,test
high_change_uhYiRmGURwE_f0017868,high_change,test
object_motion_iZYLeIJwe4w_f0000323,object_motion,test
object_motion_ooqdg9Wr-mo_f0012311,object_motion,test
scene_cut_dTUaWnvIOp4_f0001269,scene_cut,test
scene_cut_txdfCHpxzVg_f0011385,scene_cut,test
static_QdlP8ai8trw_f0011416,static,test
static_aqTIB_q40bo_f0000723,static,test
