method,params,budget_ratio,holdout_activation_rel_l2,holdout_activation_cosine,holdout_weight_rel_fro
fro_lowrank_r16,88746.66666666667,1.0,0.48304979337586296,0.8904013964864943,0.4829358955224355
fro_bcm_plus_lr_b128_r10,49152.0,1.0,0.4861920773983001,0.8904849092165629,0.4860386749108632
fro_lowrank_r8,44373.333333333336,0.5,0.49091647730933297,0.8888953261905246,0.490814208984375
fro_bcm_plus_lr_b64_r4,49152.0,1.0,0.4917533149321874,0.8898343741893768,0.49163977305094403
fro_bcm_plus_lr_b128_r5,160000.0,0.9527439024390244,0.49430867036183673,0.8877496918042501,0.4944179356098175
fro_lowrank_r4,22186.666666666668,0.25,0.4961412019199795,0.8882109920183817,0.49613304601775277
activation_lowrank_r16,88746.66666666667,1.0,0.5008308953709073,0.8887309167120192,0.5008983479605781
activation_lr_r8_row_sparse_b16,85333.33333333333,0.9796747967479674,0.5009284615516663,0.8890291452407837,0.500991016626358
activation_lowrank_r8,44373.333333333336,0.5,0.5038997431596121,0.888207283284929,0.5039556854301028
activation_lowrank_r4,22186.666666666668,0.25,0.5058013134532504,0.888002528084649,0.5058733820915222
fro_bcm_b64,96256.0,0.926829268292683,0.506921304596795,0.8889594740337796,0.5068897207578024
activation_bcm_plus_lr_b128_r10,49152.0,1.0,0.506991426150004,0.8834224045276642,0.5070389360189438
fro_bcm_b128,48128.0,0.4634146341463415,0.508907331360711,0.8885054787000021,0.5088977681265937
activation_bcm_plus_lr_b128_r5,160000.0,0.9527439024390244,0.5098399122556051,0.8825315833091736,0.5099657575289408
ternary_main,0.0,0.0,0.5109309885236952,0.8880471918318007,0.510910709698995
activation_bcm_plus_lr_b64_r4,49152.0,1.0,0.5139084160327911,0.8777204851309458,0.5138947566350301
activation_bcm_b128,48128.0,0.4634146341463415,0.5147652559810214,0.8826567530632019,0.5147338774469163
activation_bcm_b64,96256.0,0.926829268292683,0.5187809930907356,0.8772766656345792,0.5187073283725314
